line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
4510086,T10052,P1166,PR141,5,1615.0
1148635,T10052,P1105,PR120,2,135.78
1851473,T10053,P1034,PR108,3,561.06
7596174,T10054,P1116,PR146,5,2440.25
8254324,T10054,P1069,PR114,5,1435.9
325401,T10054,P1048,PR134,3,51.12
371295,T10055,P1012,PR104,5,233.25
4516345,T10056,P1026,PR140,3,367.32
137642,T10057,P1183,PR121,4,207.0
247042,T10058,P1023,PR140,2,655.44
7050509,T10059,P1055,PR122,3,37.95
6231010,T10059,P1079,PR106,4,731.8
5540653,T10060,P1178,PR122,1,453.15
940168,T10060,P1020,PR143,2,169.2
1197637,T10061,P1198,PR124,4,371.32
3046806,T10061,P1139,PR126,4,850.8
211653,T10062,P1064,PR140,4,647.52
6455838,T10063,P1196,PR105,2,805.44
3341684,T10064,P1063,PR133,1,426.31
8743264,T10064,P1117,PR108,1,260.57
6528400,T10065,P1053,PR148,4,1831.44
5420101,T10065,P1174,PR132,3,825.24
9220422,T10065,P1040,,1,317.41
8073693,T10066,P1031,PR105,3,991.56
3334030,T10066,P1163,PR136,3,993.15
3653881,T10066,P1092,PR130,1,172.31
5444433,T10067,P1060,PR133,4,1708.96
9809586,T10068,P1042,PR140,3,761.43
149819,T10069,P1101,PR128,2,40.2
2600334,T10070,P1148,PR113,4,1413.24
4172868,T10071,P1197,PR135,1,144.61
1533464,T10071,P1040,PR135,4,1269.64
1007512,T10072,P1158,PR114,3,82.29
2582323,T10072,P1015,PR107,3,915.54
1801734,T10072,P1179,PR125,5,509.6
5314008,T10073,P1124,PR135,2,963.02
7360482,T10074,P1165,PR147,3,119.79
358242,T10074,P1187,PR120,2,846.42
6009054,T10074,P1176,PR127,4,784.48
662508,T10075,P1034,PR103,3,561.06
9378880,T10075,P1124,PR115,4,1926.04
8222380,T10075,P1075,PR121,5,2196.5
9120440,T10076,P1145,PR111,2,55.54
4619178,T10077,P1082,PR115,4,1624.04
2690117,T10077,P1153,,5,453.65
7539416,T10078,P1135,PR139,2,955.32
6159130,T10079,P1067,PR137,5,2342.0
8488563,T10079,P1116,PR141,1,488.05
314068,T10080,P1187,PR136,2,846.42
4006174,T10080,P1158,PR128,3,82.29
9042190,T10081,P1184,PR117,1,343.09
8792432,T10081,P1099,PR109,2,293.68
2585898,T10082,P1127,PR141,5,1037.15
5412331,T10082,P1156,PR138,3,929.55
1853281,T10082,P1104,PR117,3,549.87
734461,T10083,P1133,PR100,1,331.8
3390324,T10084,P1045,PR138,1,101.65
1656811,T10085,P1124,PR120,2,963.02
8219320,T10086,P1146,PR100,4,100.64
4293937,T10087,P1159,PR114,5,952.15
3703114,T10087,P1012,PR103,3,139.95
219549,T10087,P1155,PR119,1,202.26
1341453,T10088,P1167,PR109,4,72.48
6055335,T10089,P1163,PR122,1,331.05
6191945,T10089,P1142,PR140,4,1520.52
4459647,T10090,P1014,PR133,5,2248.9
1180917,T10090,P1135,PR145,1,477.66
3622202,T10090,P1077,PR147,1,350.02
3875839,T10091,P1024,PR132,1,116.01
3178619,T10091,P1136,PR133,4,1481.04
4173552,T10091,P1049,PR138,5,1622.55
9368792,T10092,P1160,PR109,2,629.6
6965642,T10092,P1191,PR119,5,317.45
9673134,T10092,P1191,PR100,1,63.49
7165130,T10093,P1172,PR112,4,1293.72
3026552,T10093,P1026,PR100,2,244.88
5662527,T10094,P1102,PR104,5,117.45
8957364,T10094,P1168,PR115,2,589.92
5911018,T10094,P1153,PR114,4,362.92
6236419,T10095,P1140,PR148,3,382.89
5426606,T10095,P1105,PR127,4,271.56
9154090,T10096,P1061,PR130,5,753.75
9231474,T10096,P1054,PR122,4,752.92
6039942,T10096,P1190,PR147,3,433.56
3283,T10097,P1114,PR144,4,1282.12
4772819,T10097,P1185,PR142,1,40.24
2266363,T10098,P1004,PR116,5,1591.95
5038768,T10098,P1077,PR148,1,350.02
5283224,T10098,P1056,PR133,2,929.04
9288927,T10099,P1197,PR112,3,433.83
9590056,T10100,P1142,PR113,5,1900.65
633111,T10100,P1039,PR110,1,446.56
2619043,T10100,P1117,PR127,3,781.71
9766953,T10101,P1067,PR141,3,1405.2
5038239,T10102,P1059,PR131,3,1445.97
9547326,T10103,P1146,PR134,4,100.64
5447429,T10104,P1187,PR130,1,423.21
9667577,T10105,P1044,PR116,4,995.2
5039763,T10105,P1024,PR146,5,580.05
6401282,T10106,P1187,PR108,5,2116.05
5610128,T10107,P1199,PR109,1,376.55
2022335,T10108,P1111,PR107,4,122.32
191838,T10108,P1197,PR120,2,289.22
908117,T10109,P1199,PR112,4,1506.2
690924,T10109,P1078,PR149,5,1763.65
9477666,T10109,P1081,PR104,5,2028.15
3704362,T10110,P1083,PR105,5,2171.0
7476200,T10111,P1012,PR129,4,186.6
1511342,T10112,P1147,PR130,5,2142.25
4861753,T10112,P1056,PR116,4,1858.08
2217765,T10112,P1100,PR110,2,594.92
9587183,T10113,P1021,PR119,4,1106.48
9196472,T10113,P1190,PR147,1,144.52
6686175,T10114,P1067,PR108,1,468.4
2187333,T10114,P1128,PR101,4,363.12
3323710,T10115,P1123,PR136,5,87.75
3290001,T10116,P1101,PR100,5,100.5
8795419,T10116,P1143,PR103,5,60.6
4467053,T10117,P1062,PR135,1,195.62
1503149,T10118,P1082,PR124,5,2030.05
7105833,T10118,P1028,PR102,4,1498.04
5381097,T10119,P1089,PR108,2,704.94
406124,T10119,P1088,PR121,5,1633.65
7419055,T10120,P1043,PR122,3,871.71
7389751,T10120,P1159,PR111,2,380.86
6271673,T10121,P1059,PR109,2,963.98
1885285,T10122,P1193,PR133,1,316.33
2477611,T10123,P1013,PR142,2,170.02
5759138,T10123,P1073,PR109,1,74.34
5119032,T10123,P1177,PR129,1,480.79
5567968,T10124,P1120,PR121,1,139.06
3554678,T10124,P1053,PR105,5,2289.3
4339562,T10125,P1139,PR149,5,1063.5
2371417,T10126,P1123,PR101,5,87.75
6318412,T10126,P1177,PR129,1,480.79
729508,T10126,P1149,PR101,5,1198.6
4764957,T10127,P1043,PR131,1,290.57
4551348,T10127,P1051,PR141,5,2352.65
1117326,T10128,P1119,PR115,1,398.62
6043475,T10129,P1169,PR111,3,1411.23
4907262,T10129,P1027,PR100,1,166.07
6387107,T10130,P1098,PR107,2,547.22
5292473,T10130,P1130,PR147,1,128.87
8918108,T10130,P1124,PR149,5,2407.55
8399527,T10131,P1047,PR112,2,287.96
666935,T10132,P1143,PR114,1,12.12
5115835,T10132,P1063,PR143,5,2131.55
2634112,T10133,P1125,PR107,4,1675.24
5904122,T10133,P1004,PR109,3,955.17
3962859,T10134,P1160,PR145,3,944.4
1040351,T10134,P1128,PR104,3,272.34
494356,T10135,P1065,PR149,4,355.6
3784650,T10135,P1142,PR118,3,1140.39
6590873,T10135,P1038,PR146,3,598.74
6412372,T10136,P1035,PR137,1,136.28
3815609,T10136,P1133,PR110,5,1659.0
9611643,T10136,P1106,PR142,2,527.02
5524482,T10137,P1109,PR119,3,939.99
3468812,T10138,P1138,PR119,2,615.6
9748078,T10138,P1167,PR120,2,36.24
2317096,T10139,P1175,PR117,2,942.06
2269161,T10139,P1079,PR149,5,914.75
9476515,T10139,P1110,PR109,2,94.5
9350619,T10140,P1081,PR133,1,405.63
3089277,T10141,P1184,PR125,1,343.09
494649,T10141,P1081,PR129,2,811.26
6946442,T10141,P1195,PR108,3,1106.58
4593538,T10142,P1077,PR145,4,1400.08
1791328,T10142,P1038,,2,399.16
4477212,T10143,P1047,PR130,1,143.98
3874050,T10144,P1145,PR141,5,138.85
3874067,T10144,P1152,PR103,2,478.74
6027406,T10144,P1175,PR105,1,471.03
2249601,T10145,P1176,PR113,4,784.48
6273998,T10146,P1154,PR103,4,879.04
8245089,T10146,P1047,PR125,4,575.92
2747880,T10146,P1121,PR146,2,444.58
6854989,T10147,P1057,PR147,1,216.95
3733841,T10148,P1069,PR138,4,1148.72
3431983,T10149,P1171,PR116,2,394.28
7369983,T10149,P1016,PR118,2,19.1
5450845,T10149,P1157,,4,1277.48
6792538,T10150,P1063,PR148,4,1705.24
6381620,T10150,P1198,PR105,1,92.83
9595468,T10151,P1080,PR128,4,601.32
8811907,T10151,P1152,PR110,5,1196.85
8735043,T10151,P1164,PR115,1,85.65
711621,T10152,P1115,PR129,4,1457.68
6637255,T10153,P1132,PR124,5,1793.6
6499458,T10154,P1010,PR139,5,1955.2
3185161,T10154,P1132,PR110,1,358.72
6678002,T10154,P1074,PR106,4,1046.28
7740122,T10155,P1198,PR125,3,278.49
4939544,T10155,P1042,PR121,4,1015.24
2386385,T10156,P1013,PR124,5,425.05
1517345,T10156,P1118,PR118,4,659.44
1898705,T10156,P1184,PR130,5,1715.45
9167191,T10157,P1199,PR125,5,1882.75
5426774,T10158,P1100,PR141,4,1189.84
7611500,T10159,P1006,PR140,2,355.72
7628319,T10159,P1151,PR135,2,496.7
2751364,T10160,P1064,PR122,3,485.64
1529936,T10161,P1187,PR146,1,423.21
6089180,T10161,P1029,PR112,4,1306.28
6443917,T10161,P1021,PR124,5,1383.1
2682672,T10162,P1130,PR101,5,644.35
6385527,T10162,P1096,PR101,5,113.95
5623608,T10162,P1011,PR115,2,645.62
2719991,T10163,P1168,PR108,2,589.92
860848,T10163,P1037,PR127,2,973.28
5192856,T10163,P1107,PR112,3,1158.45
4844934,T10164,P1196,PR134,4,1610.88
1972229,T10164,P1160,PR140,2,629.6
59273,T10164,P1033,PR112,2,102.74
204813,T10165,P1195,PR130,3,1106.58
8365829,T10165,P1117,PR120,4,1042.28
8279000,T10165,P1139,PR131,1,212.7
7981123,T10166,P1055,PR133,5,63.25
1332194,T10167,P1104,PR107,4,733.16
110278,T10167,P1153,PR140,5,453.65
9354115,T10168,P1140,PR147,3,382.89
2487326,T10169,P1012,PR101,2,93.3
616078,T10170,P1167,PR137,3,54.36
5007019,T10171,P1008,PR131,5,2245.35
1826832,T10172,P1022,PR139,1,347.49
2706756,T10172,P1106,PR127,2,527.02
9981924,T10173,P1072,PR136,5,2475.4
2976602,T10173,P1146,PR140,5,125.8
6042963,T10173,P1116,PR100,5,2440.25
5416052,T10174,P1023,PR140,3,983.16
7169305,T10175,P1097,PR109,1,235.47
4912918,T10175,P1140,PR103,1,127.63
4603980,T10176,P1034,PR134,1,187.02
6941706,T10176,P1084,PR109,5,2285.25
976176,T10177,P1053,PR146,2,915.72
8874252,T10177,P1027,PR110,5,830.35
4818204,T10177,P1022,PR113,4,1389.96
4356373,T10178,P1155,PR137,3,606.78
5936674,T10178,P1134,PR111,5,717.85
8328159,T10179,P1157,PR144,5,1596.85
8262854,T10180,P1186,PR116,4,651.56
3904422,T10180,P1046,PR115,5,1813.05
3247322,T10180,P1181,PR134,3,164.67
7799487,T10181,P1030,PR101,1,425.37
6956373,T10182,P1030,PR110,2,850.74
5600105,T10182,P1105,PR140,1,67.89
3562440,T10182,P1089,PR102,5,1762.35
4724913,T10183,P1163,PR128,2,662.1
5037930,T10184,P1017,PR117,3,165.69
5434541,T10184,P1129,PR119,5,412.2
5727098,T10185,P1029,PR146,3,979.71
488509,T10186,P1185,PR113,5,201.2
5545119,T10186,P1044,PR133,2,497.6
7960797,T10187,P1172,PR148,4,1293.72
8078155,T10187,P1009,PR130,2,888.22
9008821,T10188,P1160,PR139,4,1259.2
939898,T10189,P1118,PR141,4,659.44
9478165,T10189,P1133,PR117,3,995.4
9314328,T10190,P1173,PR129,3,695.52
3494065,T10190,P1137,PR124,1,279.41
5932349,T10190,P1147,PR118,3,1285.35
522999,T10191,P1038,PR107,3,598.74
2784506,T10192,P1096,PR127,5,113.95
6535838,T10192,P1146,PR107,5,125.8
5172104,T10193,P1152,PR130,1,239.37
4554971,T10194,P1080,PR102,1,150.33
8339190,T10194,P1105,PR102,1,67.89
7581731,T10194,P1060,PR143,3,1281.72
5072060,T10195,P1055,PR121,5,63.25
6278298,T10195,P1044,PR116,1,248.8
1553640,T10196,P1199,PR135,2,753.1
8097745,T10197,P1129,PR116,1,82.44
3191223,T10197,P1128,PR113,2,181.56
5206956,T10198,P1123,,5,87.75
2404092,T10198,P1198,PR108,3,278.49
3442469,T10199,P1132,PR129,2,717.44
6502652,T10200,P1009,PR120,4,1776.44
1943406,T10200,P1182,PR111,5,70.1
738701,T10200,P1001,PR136,3,153.27
5591675,T10201,P1152,PR131,1,239.37
1729779,T10201,P1119,PR110,1,398.62
377157,T10201,P1133,PR119,3,995.4
3520627,T10202,P1194,PR134,3,1318.05
3230380,T10202,P1082,PR146,2,812.02
8930107,T10202,P1073,PR145,3,223.02
1973854,T10203,P1197,PR110,4,578.44
2642345,T10203,P1069,PR107,2,574.36
9388963,T10204,P1029,PR103,1,326.57
3465794,T10204,P1131,PR126,1,276.87
5343291,T10205,P1089,PR143,5,1762.35
4752444,T10205,P1069,PR139,2,574.36
2873518,T10205,P1146,PR137,2,50.32
5683096,T10206,P1079,PR146,5,914.75
2182280,T10207,P1113,PR129,1,272.61
846512,T10207,P1007,PR143,4,1457.4
902613,T10207,P1027,PR147,4,664.28
3002837,T10208,P1109,PR147,4,1253.32
7479892,T10209,P1152,PR126,5,1196.85
5241885,T10209,P1157,PR120,3,958.11
8950392,T10209,P1085,PR119,2,516.22
9525924,T10210,P1193,PR103,4,1265.32
1631803,T10211,P1023,PR110,4,1310.88
7894450,T10212,P1079,PR112,4,731.8
2411250,T10212,P1059,PR108,2,963.98
6577960,T10213,P1066,PR103,3,841.86
5448587,T10213,P1046,PR111,3,1087.83
507748,T10213,P1116,PR108,4,1952.2
5896199,T10214,P1121,PR112,1,222.29
4735493,T10215,P1118,PR147,2,329.72
9641502,T10215,P1196,PR125,3,1208.16
6806282,T10216,P1130,PR137,1,128.87
9330647,T10217,P1027,PR141,3,498.21
5068702,T10217,P1166,PR112,1,323.0
6724585,T10217,P1136,PR138,4,1481.04
4088458,T10218,P1105,PR127,2,135.78
8092904,T10218,P1140,PR118,2,255.26
5716236,T10218,P1098,PR123,1,273.61
7233472,T10219,P1177,PR118,5,2403.95
9135646,T10220,P1145,PR148,3,83.31
2903893,T10220,P1177,PR112,2,961.58
9633281,T10221,P1171,PR112,1,197.14
9934849,T10221,P1124,PR127,1,481.51
5458939,T10221,P1152,PR101,4,957.48
2955710,T10222,P1024,PR109,4,464.04
1167823,T10222,P1078,PR121,4,1410.92
6357072,T10222,P1153,PR112,1,90.73
1518892,T10223,P1126,PR108,1,349.51
9743669,T10223,P1055,PR132,2,25.3
2503437,T10224,P1000,PR113,2,249.44
4890614,T10224,P1115,PR147,5,1822.1
9696081,T10224,P1099,PR119,5,734.2
5311629,T10225,P1050,PR114,2,185.34
5109504,T10225,P1076,PR131,5,1858.4
1497995,T10226,P1183,PR132,3,155.25
8563492,T10226,P1149,PR116,1,239.72
1047076,T10227,P1032,PR123,3,858.93
891329,T10227,P1094,PR129,5,257.6
6027125,T10228,P1180,PR112,5,196.65
3946692,T10229,P1072,PR146,1,495.08
6614725,T10230,P1179,PR147,5,509.6
6422145,T10230,P1160,PR115,3,944.4
9145576,T10231,P1097,PR101,4,941.88
7967021,T10231,P1054,PR116,2,376.46
6452435,T10232,P1048,PR131,5,85.2
4839739,T10233,P1106,PR142,2,527.02
2252802,T10233,P1171,PR107,2,394.28
2415851,T10234,P1018,PR102,1,333.43
2277940,T10235,P1124,PR111,4,1926.04
6976897,T10235,P1021,PR119,2,553.24
7142131,T10235,P1116,PR115,5,2440.25
8546565,T10236,P1046,PR113,4,1450.44
7550516,T10236,P1108,PR115,5,559.15
3787305,T10236,P1098,PR148,3,820.83
124655,T10237,P1108,PR142,5,559.15
8417613,T10238,P1127,PR148,2,414.86
9163150,T10238,P1068,,4,1398.12
561398,T10238,P1147,PR132,3,1285.35
6183723,T10239,P1145,PR129,4,111.08
1343237,T10240,P1148,PR111,4,1413.24
4687896,T10241,P1186,PR114,5,814.45
8780470,T10242,P1132,PR117,1,358.72
4114299,T10242,P1156,PR127,1,309.85
9046229,T10243,P1161,PR122,1,254.05
885406,T10243,P1148,PR113,3,1059.93
7866314,T10244,P1136,PR129,1,370.26
7872414,T10244,P1116,PR132,5,2440.25
7063479,T10245,P1187,PR144,3,1269.63
4852113,T10245,P1090,PR114,3,1196.76
5101463,T10245,P1042,PR106,1,253.81
1030420,T10246,P1144,PR114,3,187.38
9699598,T10246,P1161,PR141,4,1016.2
866038,T10246,P1043,PR145,5,1452.85
457986,T10247,P1074,PR137,5,1307.85
1384291,T10247,P1073,PR145,4,297.36
1289535,T10247,P1032,PR143,5,1431.55
4713927,T10248,P1064,PR110,2,323.76
238287,T10248,P1070,PR128,3,159.3
2929535,T10249,P1028,PR130,5,1872.55
7493597,T10249,P1151,PR124,2,496.7
4383092,T10249,P1094,PR123,2,103.04
3033475,T10250,P1060,PR118,4,1708.96
5752035,T10250,P1135,PR101,1,477.66
9991572,T10250,P1021,PR121,2,553.24
6428476,T10251,P1126,PR119,4,1398.04
2806548,T10252,P1169,PR132,4,1881.64
911436,T10253,P1147,PR107,3,1285.35
881194,T10254,P1067,PR124,1,468.4
6689828,T10254,P1042,PR145,4,1015.24
7990422,T10254,P1121,PR108,3,666.87
3920187,T10255,P1192,PR133,5,1749.4
7962292,T10255,P1097,PR122,4,941.88
8899343,T10255,P1067,PR104,2,936.8
7529961,T10256,P1003,PR124,3,1352.13
8896177,T10256,P1097,PR107,3,706.41
8913624,T10257,P1010,PR115,1,391.04
7244165,T10257,P1163,PR147,3,993.15
5619821,T10257,P1156,PR144,3,929.55
4283961,T10258,P1068,PR114,1,349.53
6562472,T10258,P1167,PR100,5,90.6
9877155,T10259,P1197,PR121,2,289.22
8723353,T10259,P1197,PR102,2,289.22
5255796,T10260,P1173,PR137,2,463.68
142207,T10260,P1140,PR113,1,127.63
1639114,T10261,P1003,PR135,4,1802.84
5897467,T10262,P1026,PR117,4,489.76
4226116,T10262,P1056,PR146,3,1393.56
397628,T10262,P1049,PR140,1,324.51
9967992,T10263,P1023,PR117,1,327.72
2043300,T10263,P1168,PR102,2,589.92
1449323,T10263,P1181,PR109,1,54.89
9497059,T10264,P1033,PR148,4,205.48
3091421,T10264,P1047,PR138,1,143.98
7834215,T10264,P1064,PR146,3,485.64
4636947,T10265,P1019,PR100,4,30.04
5425821,T10265,P1196,PR126,4,1610.88
1241465,T10265,P1065,PR126,2,177.8
6422302,T10266,P1198,PR110,1,92.83
1007617,T10266,P1099,PR148,3,440.52
7391620,T10267,P1067,PR104,2,936.8
3366670,T10267,P1017,PR106,4,220.92
8255352,T10268,P1100,PR118,2,594.92
9070303,T10268,P1027,PR128,2,332.14
3663918,T10268,P1196,PR114,4,1610.88
7408512,T10269,P1164,PR134,1,85.65
1732871,T10269,P1183,PR146,3,155.25
1181323,T10269,P1008,PR136,1,449.07
7480660,T10270,P1186,PR111,3,488.67
2497361,T10270,P1004,PR129,4,1273.56
634777,T10270,P1167,PR119,1,18.12
2543552,T10271,P1099,PR136,3,440.52
6565435,T10271,P1179,PR102,3,305.76
8646692,T10271,P1147,PR108,1,428.45
8021849,T10272,P1197,PR140,4,578.44
1176078,T10272,P1111,PR138,4,122.32
55489,T10272,P1138,PR125,2,615.6
2033460,T10273,P1176,PR101,4,784.48
6021651,T10273,P1145,PR122,5,138.85
6721202,T10274,P1174,PR122,3,825.24
6129646,T10274,P1014,PR120,1,449.78
7711469,T10275,P1087,PR115,1,400.16
3407797,T10275,P1194,PR108,3,1318.05
659868,T10275,P1045,PR112,5,508.25
5014213,T10276,P1169,PR127,2,940.82
1791271,T10276,P1178,PR126,4,1812.6
8162176,T10277,P1176,,3,588.36
3178687,T10277,P1021,PR116,4,1106.48
3239559,T10277,P1035,PR137,1,136.28
4001117,T10278,P1184,PR135,5,1715.45
9068959,T10279,P1099,PR100,1,146.84
8383309,T10279,P1164,PR117,3,256.95
621474,T10280,P1115,,1,364.42
5665978,T10280,P1086,PR108,1,253.25
6803293,T10280,P1184,PR112,1,343.09
7690179,T10281,P1054,PR139,5,941.15
9719809,T10282,P1137,PR144,2,558.82
618705,T10282,P1059,PR114,1,481.99
8202293,T10282,P1188,PR142,2,33.04
768425,T10283,P1004,PR143,4,1273.56
241009,T10283,P1062,PR145,2,391.24
5156265,T10283,P1044,PR103,1,248.8
2863693,T10284,P1116,PR132,5,2440.25
1915618,T10285,P1016,PR123,1,9.55
3700593,T10285,P1127,PR135,5,1037.15
7150642,T10285,P1016,,2,19.1
5439760,T10286,P1188,PR140,4,66.08
9158428,T10286,P1030,PR109,5,2126.85
764816,T10287,P1082,PR135,2,812.02
1060688,T10288,P1044,PR119,3,746.4
2369561,T10288,P1030,PR140,3,1276.11
2819426,T10288,P1193,PR144,4,1265.32
2768344,T10289,P1094,PR143,5,257.6
9764102,T10289,P1112,PR110,2,536.04
1677183,T10289,P1010,PR111,2,782.08
2646668,T10290,P1156,PR117,4,1239.4
1354301,T10290,P1004,PR129,4,1273.56
3010049,T10290,P1001,PR143,1,51.09
4760226,T10291,P1180,PR147,5,196.65
2128902,T10292,P1177,PR136,4,1923.16
4545783,T10292,P1052,PR119,2,954.38
4014012,T10293,P1115,PR124,4,1457.68
631180,T10293,P1044,PR111,5,1244.0
8386723,T10293,P1152,PR120,2,478.74
5836015,T10294,P1022,PR124,3,1042.47
9356828,T10294,P1107,PR110,1,386.15
1971455,T10294,P1060,PR108,2,854.48
6071697,T10295,P1024,PR149,5,580.05
8515121,T10295,P1194,PR124,5,2196.75
3491485,T10295,P1056,PR134,4,1858.08
1890442,T10296,P1013,PR131,2,170.02
8346914,T10296,P1038,PR148,4,798.32
906433,T10297,P1040,PR113,1,317.41
3516333,T10298,P1093,PR100,3,572.73
5608534,T10298,P1111,PR116,3,91.74
726747,T10298,P1157,PR124,4,1277.48
9015416,T10299,P1189,PR107,1,408.16
8137980,T10300,P1040,PR104,1,317.41
3947677,T10301,P1029,PR104,1,326.57
9943968,T10301,P1184,PR140,4,1372.36
7030766,T10301,P1148,PR134,3,1059.93
3859821,T10302,P1191,PR118,3,190.47
1645244,T10303,P1083,PR122,2,868.4
3354703,T10304,P1188,PR108,4,66.08
7901906,T10305,P1056,PR129,1,464.52
911664,T10305,P1149,PR149,4,958.88
7633481,T10306,P1037,PR115,2,973.28
6266040,T10306,P1045,PR132,4,406.6
6016145,T10307,P1117,PR101,2,521.14
2134260,T10308,P1051,PR113,3,1411.59
1000790,T10308,P1008,PR145,5,2245.35
7810370,T10309,P1034,PR100,1,187.02
2872282,T10309,P1117,PR125,4,1042.28
2630469,T10310,P1056,PR124,3,1393.56
2851045,T10310,P1163,PR115,5,1655.25
1450799,T10311,P1141,PR114,2,362.42
8207639,T10311,P1105,PR125,5,339.45
7943828,T10311,P1055,PR146,5,63.25
7182501,T10312,P1071,PR143,1,309.43
4157922,T10312,P1188,PR115,2,33.04
3731364,T10313,P1111,PR113,5,152.9
